,"Educational attainment, year, and age",Number with earnings (thousands)-Male,Mean earnings Current dollars-Male,Mean earnings 2020 dollars-Male,Number with earnings (thousands)-Female,Mean earnings Current dollars-Female,Mean earnings 2020 dollars-Female,education_attainment,year
3509,25 to 34 years,302,49776,90269,157,41566,75380,Professional Degree,1992
3510,35 to 44 years,470,99098,179715,162,54007,97942,Professional Degree,1992
3511,45 to 54 years,392,93816,170136,125,49941,90569,Professional Degree,1992
3512,55 to 64 years,215,87224,158182,41,(B),(B),Professional Degree,1992
3513,65 years and over,116,61193,110974,12,(B),(B),Professional Degree,1992
3518,Total,1398,72411,134583,474,44999,83635,Professional Degree,1991
3519,18 to 24 years,4,(B),(B),3,(B),(B),Professional Degree,1991
3520,25 to 34 years,279,52854,98235,184,34179,63525,Professional Degree,1991
3521,35 to 44 years,490,77827,144650,170,51242,95239,Professional Degree,1991
3522,45 to 54 years,307,85402,158729,77,51353,95445,Professional Degree,1991
3523,55 to 64 years,198,80586,149778,32,(B),(B),Professional Degree,1991
3524,65 years and over,121,51309,95363,9,(B),(B),Professional Degree,1991
3530,Total,1981,155485,155485,1629,113858,113858,Doctorate Degree,2020
3531,18 to 24 years,4,(B),(B),2,(B),(B),Doctorate Degree,2020
3532,25 to 34 years,249,113581,113581,336,94325,94325,Doctorate Degree,2020
3533,35 to 44 years,510,164313,164313,430,129296,129296,Doctorate Degree,2020
3534,45 to 54 years,456,173748,173748,417,131226,131226,Doctorate Degree,2020
3535,55 to 64 years,409,165639,165639,298,108683,108683,Doctorate Degree,2020
3536,65 years and over,354,136800,136800,146,75588,75588,Doctorate Degree,2020
3541,Total,2008,157252,159215,1652,119778,121274,Doctorate Degree,2019
3542,18 to 24 years,11,(B),(B),10,(B),(B),Doctorate Degree,2019
3543,25 to 34 years,256,113120,114532,367,92665,93822,Doctorate Degree,2019
3544,35 to 44 years,502,160068,162066,409,121629,123147,Doctorate Degree,2019
3545,45 to 54 years,500,186981,189315,431,162146,164171,Doctorate Degree,2019
3546,55 to 64 years,398,173105,175266,254,115286,116725,Doctorate Degree,2019
3547,65 years and over,341,127533,129125,180,79653,80647,Doctorate Degree,2019
3552,Total,2047,142728,147128,1585,101817,104956,Doctorate Degree,2018
3553,18 to 24 years,16,(B),(B),10,(B),(B),Doctorate Degree,2018
3554,25 to 34 years,326,98362,101394,321,72161,74386,Doctorate Degree,2018
3555,35 to 44 years,476,142932,147338,454,108821,112176,Doctorate Degree,2018
3556,45 to 54 years,481,173818,179176,357,122042,125804,Doctorate Degree,2018
3557,55 to 64 years,376,159718,164642,267,108656,112006,Doctorate Degree,2018
3558,65 years and over,373,127186,131107,175,89141,91889,Doctorate Degree,2018
3563,Total,2046,141337,149246,1521,93527,98760,Doctorate Degree,2017
3564,18 to 24 years,10,(B),(B),0,(B),(B),Doctorate Degree,2017
3565,25 to 34 years,365,92663,97848,354,79872,84341,Doctorate Degree,2017
3566,35 to 44 years,458,154468,163111,426,102332,108058,Doctorate Degree,2017
3567,45 to 54 years,458,157606,166425,313,93253,98471,Doctorate Degree,2017
3568,55 to 64 years,394,151230,159692,287,105192,111078,Doctorate Degree,2017
3569,65 years and over,360,141729,149660,141,78056,82424,Doctorate Degree,2017
3574,Total,2048,136630,144275,1512,94894,100204,Doctorate Degree,2017
3575,18 to 24 years,15,(B),(B),(B),(B),(B),Doctorate Degree,2017
3576,25 to 34 years,363,91471,96589,360,88736,93701,Doctorate Degree,2017
3577,35 to 44 years,454,148632,156949,417,100920,106567,Doctorate Degree,2017
3578,45 to 54 years,459,159295,168208,312,92484,97659,Doctorate Degree,2017
3579,55 to 64 years,400,151042,159494,280,103704,109507,Doctorate Degree,2017
3580,65 years and over,357,125383,132399,143,80859,85384,Doctorate Degree,2017
3585,Total,1902,151019,162899,1378,90487,97605,Doctorate Degree,2016
3586,18 to 24 years,(B),(B),(B),11,(B),(B),Doctorate Degree,2016
3587,25 to 34 years,300,93062,100383,325,77765,83882,Doctorate Degree,2016
3588,35 to 44 years,461,152455,164448,355,96980,104609,Doctorate Degree,2016
3589,45 to 54 years,433,176509,190394,305,95925,103471,Doctorate Degree,2016
3590,55 to 64 years,383,189485,204391,232,106119,114467,Doctorate Degree,2016
3591,65 years and over,325,123259,132955,151,71449,77069,Doctorate Degree,2016
3596,Total,1817,131569,143749,1371,91254,99702,Doctorate Degree,2015
3597,18 to 24 years,4,(B),(B),13,(B),(B),Doctorate Degree,2015
3598,25 to 34 years,268,82251,89866,333,68914,75294,Doctorate Degree,2015
3599,35 to 44 years,406,138108,150894,317,87905,96043,Doctorate Degree,2015
3600,45 to 54 years,391,171866,187777,364,113319,123810,Doctorate Degree,2015
3601,55 to 64 years,431,142091,155245,214,103661,113258,Doctorate Degree,2015
3602,65 years and over,318,102661,112165,131,80219,87645,Doctorate Degree,2015
3607,Total,1685,117024,128078,1218,82146,89905,Doctorate Degree,2014
3608,18 to 24 years,(B),(B),(B),(B),(B),(B),Doctorate Degree,2014
3609,25 to 34 years,237,68105,74538,237,71358,78098,Doctorate Degree,2014
3610,35 to 44 years,368,126314,138245,390,83089,90937,Doctorate Degree,2014
3611,45 to 54 years,358,149298,163401,266,93311,102125,Doctorate Degree,2014
3612,55 to 64 years,416,123590,135264,191,94919,103885,Doctorate Degree,2014
3613,65 years and over,307,97156,106333,134,57993,63471,Doctorate Degree,2014
3618,Total,1993,132849,147860,972,81983,91246,Doctorate Degree,2013
3619,18 to 24 years,(B),(B),(B),9,(B),(B),Doctorate Degree,2013
3620,25 to 34 years,352,92939,103440,138,61368,68302,Doctorate Degree,2013
3621,35 to 44 years,247,122202,136010,269,79214,88165,Doctorate Degree,2013
3622,45 to 54 years,520,186075,207100,254,99232,110444,Doctorate Degree,2013
3623,55 to 64 years,512,134435,149625,192,91128,101425,Doctorate Degree,2013
3624,65 years and over,362,100304,111638,110,62990,70107,Doctorate Degree,2013
3629,Total,1856,131969,146881,1057,80501,89597,Doctorate Degree,2013
3630,18 to 24 years,5,(B),(B),2,(B),(B),Doctorate Degree,2013
3631,25 to 34 years,237,70780,78778,213,68508,76249,Doctorate Degree,2013
3632,35 to 44 years,379,161861,180150,292,81499,90708,Doctorate Degree,2013
3633,45 to 54 years,413,155146,172676,246,80013,89054,Doctorate Degree,2013
3634,55 to 64 years,428,138802,154486,190,93696,104283,Doctorate Degree,2013
3635,65 years and over,393,108883,121186,113,79757,88769,Doctorate Degree,2013
3640,Total,1766,131205,148194,1013,83926,94793,Doctorate Degree,2012
3641,18 to 24 years,6,(B),(B),5,(B),(B),Doctorate Degree,2012
3642,25 to 34 years,228,83620,94447,214,68262,77101,Doctorate Degree,2012
3643,35 to 44 years,386,128385,145008,258,87173,98460,Doctorate Degree,2012
3644,45 to 54 years,393,153085,172907,225,85175,96204,Doctorate Degree,2012
3645,55 to 64 years,417,152888,172684,213,101345,114467,Doctorate Degree,2012
3646,65 years and over,336,115672,130649,97,70083,79157,Doctorate Degree,2012
3651,Total,1572,121098,139675,951,86527,99801,Doctorate Degree,2011
3652,18 to 24 years,2,(B),(B),9,(B),(B),Doctorate Degree,2011
3653,25 to 34 years,163,66912,77177,210,65737,75821,Doctorate Degree,2011
3654,35 to 44 years,355,123471,142412,238,82221,94834,Doctorate Degree,2011
3655,45 to 54 years,342,148570,171361,199,87111,100474,Doctorate Degree,2011
3656,55 to 64 years,397,133791,154315,206,119551,137891,Doctorate Degree,2011
3657,65 years and over,313,101039,116539,90,73145,84366,Doctorate Degree,2011
3662,Total,1537,118855,141409,973,87900,104580,Doctorate Degree,2010
3663,18 to 24 years,4,(B),(B),12,(B),(B),Doctorate Degree,2010
3664,25 to 34 years,189,80653,95958,206,80081,95277,Doctorate Degree,2010
3665,35 to 44 years,369,118340,140797,243,93362,111079,Doctorate Degree,2010
3666,45 to 54 years,325,123797,147289,234,91683,109081,Doctorate Degree,2010
3667,55 to 64 years,383,128427,152798,204,90052,107141,Doctorate Degree,2010
3668,65 years and over,268,127579,151789,75,(B),(B),Doctorate Degree,2010
3673,Total,1497,114347,138290,874,83708,101236,Doctorate Degree,2009
3674,18 to 24 years,4,(B),(B),7,(B),(B),Doctorate Degree,2009
3675,25 to 34 years,190,80936,97883,166,67399,81512,Doctorate Degree,2009
3676,35 to 44 years,344,123508,149369,206,82471,99740,Doctorate Degree,2009
3677,45 to 54 years,401,126198,152623,236,88279,106764,Doctorate Degree,2009
3678,55 to 64 years,334,128036,154846,211,83743,101278,Doctorate Degree,2009
3679,65 years and over,225,88276,106760,48,(B),(B),Doctorate Degree,2009
3684,Total,1350,116574,140493,791,70898,85445,Doctorate Degree,2008
3685,18 to 24 years,3,(B),(B),5,(B),(B),Doctorate Degree,2008
3686,25 to 34 years,175,102953,124077,144,59201,71348,Doctorate Degree,2008
3687,35 to 44 years,329,127424,153569,218,65705,79187,Doctorate Degree,2008
3688,45 to 54 years,344,129989,156661,211,82207,99075,Doctorate Degree,2008
3689,55 to 64 years,327,117716,141870,172,81532,98261,Doctorate Degree,2008
3690,65 years and over,171,82486,99411,41,(B),(B),Doctorate Degree,2008
3695,Total,1349,108941,136337,686,69251,86666,Doctorate Degree,2007
3696,18 to 24 years,3,(B),(B),6,(B),(B),Doctorate Degree,2007
3697,25 to 34 years,125,80148,100303,117,68443,85655,Doctorate Degree,2007
3698,35 to 44 years,312,106511,133296,200,76092,95227,Doctorate Degree,2007
3699,45 to 54 years,343,128541,160866,159,71266,89188,Doctorate Degree,2007
3700,55 to 64 years,370,118164,147880,160,67840,84900,Doctorate Degree,2007
3701,65 years and over,197,80255,100437,45,(B),(B),Doctorate Degree,2007
3706,Total,1405,116473,149897,677,77968,100342,Doctorate Degree,2006
3707,18 to 24 years,(B),(B),(B),6,(B),(B),Doctorate Degree,2006
3708,25 to 34 years,103,62040,79844,133,62250,80114,Doctorate Degree,2006
3709,35 to 44 years,335,129000,166019,188,94849,122068,Doctorate Degree,2006
3710,45 to 54 years,370,136112,175172,147,83790,107835,Doctorate Degree,2006
3711,55 to 64 years,418,112933,145341,162,77702,100000,Doctorate Degree,2006
3712,65 years and over,178,92047,118462,42,(B),(B),Doctorate Degree,2006
3717,Total,1407,105163,139729,654,66411,88239,Doctorate Degree,2005
3718,18 to 24 years,19,(B),(B),5,(B),(B),Doctorate Degree,2005
3719,25 to 34 years,158,63771,84732,136,60525,80419,Doctorate Degree,2005
3720,35 to 44 years,329,111418,148040,170,69398,92208,Doctorate Degree,2005
3721,45 to 54 years,366,134859,179185,156,76145,101173,Doctorate Degree,2005
3722,55 to 64 years,399,94439,125480,135,65536,87077,Doctorate Degree,2005
3723,65 years and over,136,99883,132713,51,(B),(B),Doctorate Degree,2005
3728,Total,1339,104827,144000,638,68177,93654,Doctorate Degree,2004
3729,18 to 24 years,5,(B),(B),(B),(B),(B),Doctorate Degree,2004
3730,25 to 34 years,122,64980,89263,113,56962,78248,Doctorate Degree,2004
3731,35 to 44 years,283,103616,142337,197,70548,96911,Doctorate Degree,2004
3732,45 to 54 years,380,123185,169218,172,73447,100894,Doctorate Degree,2004
3733,55 to 64 years,409,111416,153051,124,75358,103519,Doctorate Degree,2004
3734,65 years and over,141,74515,102361,32,(B),(B),Doctorate Degree,2004
3739,Total,1295,95895,135289,643,73515,103715,Doctorate Degree,2003
3740,18 to 24 years,4,(B),(B),(B),(B),(B),Doctorate Degree,2003
3741,25 to 34 years,153,67238,94860,118,55477,78267,Doctorate Degree,2003
3742,35 to 44 years,264,113292,159833,178,83700,118085,Doctorate Degree,2003
3743,45 to 54 years,364,102270,144283,202,74119,104568,Doctorate Degree,2003
3744,55 to 64 years,371,102729,144931,118,84862,119724,Doctorate Degree,2003
3745,65 years and over,140,61475,86729,28,(B),(B),Doctorate Degree,2003
3750,Total,1288,99607,143718,545,66426,95843,Doctorate Degree,2002
3751,18 to 24 years,1,(B),(B),(B),(B),(B),Doctorate Degree,2002
3752,25 to 34 years,124,69773,100672,93,52028,75068,Doctorate Degree,2002
3753,35 to 44 years,295,99810,144010,166,69324,100024,Doctorate Degree,2002
3754,45 to 54 years,415,129039,186183,172,72775,105003,Doctorate Degree,2002
3755,55 to 64 years,333,85323,123108,90,65743,94857,Doctorate Degree,2002
3756,65 years and over,121,66759,96323,25,(B),(B),Doctorate Degree,2002
3761,Total,1266,95928,140591,553,62200,91160,Doctorate Degree,2001
3762,18 to 24 years,(B),(B),(B),(B),(B),(B),Doctorate Degree,2001
3763,25 to 34 years,140,57090,83671,113,51469,75432,Doctorate Degree,2001
3764,35 to 44 years,308,105097,154029,165,60538,88724,Doctorate Degree,2001
3765,45 to 54 years,398,117819,172674,155,71432,104690,Doctorate Degree,2001
3766,55 to 64 years,280,84373,123656,96,59410,87071,Doctorate Degree,2001
3767,65 years and over,139,75273,110319,24,(B),(B),Doctorate Degree,2001
3772,Total,1312,89115,134324,513,60206,90749,Doctorate Degree,2000
3773,18 to 24 years,4,(B),(B),(B),(B),(B),Doctorate Degree,2000
3774,25 to 34 years,163,58978,88898,85,49807,75075,Doctorate Degree,2000
3775,35 to 44 years,332,101833,153494,161,60123,90624,Doctorate Degree,2000
3776,45 to 54 years,383,102021,153778,149,68503,103256,Doctorate Degree,2000
3777,55 to 64 years,289,79796,120278,98,58645,88396,Doctorate Degree,2000
3778,65 years and over,142,80256,120971,19,(B),(B),Doctorate Degree,2000
3783,Total,1267,97601,152108,517,61037,95124,Doctorate Degree,1999
3784,18 to 24 years,4,(B),(B),(B),(B),(B),Doctorate Degree,1999
3785,25 to 34 years,145,69107,107701,96,49512,77163,Doctorate Degree,1999
3786,35 to 44 years,346,112105,174711,167,59953,93435,Doctorate Degree,1999
3787,45 to 54 years,356,93197,145244,161,74322,115828,Doctorate Degree,1999
3788,55 to 64 years,251,110611,172383,78,55997,87269,Doctorate Degree,1999
3789,65 years and over,166,83789,130582,15,(B),(B),Doctorate Degree,1999
3794,Total,1248,82619,131500,490,54552,86828,Doctorate Degree,1998
3795,18 to 24 years,(B),(B),(B),10,(B),(B),Doctorate Degree,1998
3796,25 to 34 years,151,66305,105534,67,(B),(B),Doctorate Degree,1998
3797,35 to 44 years,343,76718,122108,162,57902,92160,Doctorate Degree,1998
3798,45 to 54 years,373,97812,155682,173,62690,99780,Doctorate Degree,1998
3799,55 to 64 years,240,97354,154953,67,(B),(B),Doctorate Degree,1998
3800,65 years and over,142,49408,78640,11,(B),(B),Doctorate Degree,1998
3805,Total,1159,87426,141036,441,51189,82578,Doctorate Degree,1997
3806,18 to 24 years,1,(B),(B),(B),(B),(B),Doctorate Degree,1997
3807,25 to 34 years,130,49785,80313,68,(B),(B),Doctorate Degree,1997
3808,35 to 44 years,309,84262,135932,147,64813,104557,Doctorate Degree,1997
3809,45 to 54 years,388,108210,174565,162,44168,71252,Doctorate Degree,1997
3810,55 to 64 years,225,86377,139344,44,(B),(B),Doctorate Degree,1997
3811,65 years and over,105,69917,112790,18,(B),(B),Doctorate Degree,1997
3816,Total,1049,81492,134305,460,51865,85477,Doctorate Degree,1996
3817,18 to 24 years,(B),(B),(B),(B),(B),(B),Doctorate Degree,1996
3818,25 to 34 years,135,48170,79388,114,39707,65440,Doctorate Degree,1996
3819,35 to 44 years,229,89226,147051,122,66727,109971,Doctorate Degree,1996
3820,45 to 54 years,390,84058,138534,147,52522,86560,Doctorate Degree,1996
3821,55 to 64 years,215,90196,148650,66,(B),(B),Doctorate Degree,1996
3822,65 years and over,80,79578,131151,10,(B),(B),Doctorate Degree,1996
3827,Total,1024,71016,120157,394,47733,80763,Doctorate Degree,1995
3828,18 to 24 years,(B),(B),(B),3,(B),(B),Doctorate Degree,1995
3829,25 to 34 years,120,40877,69163,72,(B),(B),Doctorate Degree,1995
3830,35 to 44 years,283,70309,118960,129,46329,78387,Doctorate Degree,1995
3831,45 to 54 years,357,83328,140988,121,50669,85730,Doctorate Degree,1995
3832,55 to 64 years,186,66087,111817,43,(B),(B),Doctorate Degree,1995
3833,65 years and over,79,75189,127217,27,(B),(B),Doctorate Degree,1995
3838,Total,1048,75735,131228,409,47056,81535,Doctorate Degree,1994
3839,18 to 24 years,(B),(B),(B),5,(B),(B),Doctorate Degree,1994
3840,25 to 34 years,119,44426,76978,55,(B),(B),Doctorate Degree,1994
3841,35 to 44 years,285,79684,138071,144,45487,78817,Doctorate Degree,1994
3842,45 to 54 years,367,96878,167863,135,55487,96144,Doctorate Degree,1994
3843,55 to 64 years,202,65597,113662,46,(B),(B),Doctorate Degree,1994
3844,65 years and over,75,34271,59382,23,(B),(B),Doctorate Degree,1994
3849,Total,986,76168,134734,384,44949,79511,Doctorate Degree,1993
3850,18 to 24 years,(B),(B),(B),3,(B),(B),Doctorate Degree,1993
3851,25 to 34 years,165,50233,88858,82,42527,75226,Doctorate Degree,1993
3852,35 to 44 years,255,82436,145822,122,47685,84350,Doctorate Degree,1993
3853,45 to 54 years,332,99076,175256,127,47676,84335,Doctorate Degree,1993
3854,55 to 64 years,155,56137,99301,32,(B),(B),Doctorate Degree,1993
3855,65 years and over,78,53039,93821,17,(B),(B),Doctorate Degree,1993
3860,Total,913,60041,108885,328,39721,72034,Doctorate Degree,1992
3861,18 to 24 years,(B),(B),(B),2,(B),(B),Doctorate Degree,1992
3862,25 to 34 years,114,40085,72695,55,(B),(B),Doctorate Degree,1992
3863,35 to 44 years,274,62000,112438,117,40973,74305,Doctorate Degree,1992
3864,45 to 54 years,283,70650,128125,112,44169,80101,Doctorate Degree,1992
3865,55 to 64 years,167,58866,106754,26,(B),(B),Doctorate Degree,1992
3866,65 years and over,74,(B),(B),15,(B),(B),Doctorate Degree,1992
3871,Total,827,59224,110074,301,38564,71675,Doctorate Degree,1991
3872,18 to 24 years,(B),(B),(B),(B),(B),(B),Doctorate Degree,1991
